"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"19_1A_21","19_1A","19",0,-0.375,0,0,NA,34,137.33,NA,NA
"19_1A_21","19_1A","19",1,-0.25,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",2,-0.125,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",3,0,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",4,0.125,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",5,0.25,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",6,0.375,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",7,0.5,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",8,0.625,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",9,0.75,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",10,0.875,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",11,1,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",12,1.125,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",13,1.25,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",14,1.375,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",15,1.5,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",16,1.625,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",17,1.75,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",18,1.875,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",19,2,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",20,2.125,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",21,2.25,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",22,2.375,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",23,2.5,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",24,2.625,0,0,NA,34,137.33,0,0
"19_1A_21","19_1A","19",25,2.75,0,0,NA,34,137.33,0,0
