"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"60_4C_11","60_4C","60",0,-0.875,0,0,NA,426.69,329.14,NA,NA
"60_4C_11","60_4C","60",1,-0.75,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",2,-0.625,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",3,-0.5,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",4,-0.375,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",5,-0.25,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",6,-0.125,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",7,0,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",8,0.125,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",9,0.25,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",10,0.375,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",11,0.5,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",12,0.625,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",13,0.75,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",14,0.875,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",15,1,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",16,1.125,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",17,1.25,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",18,1.375,0,0,NA,426.69,329.14,0,0
"60_4C_11","60_4C","60",19,1.5,0,1,4.3159761428833,426.69,329.14,0,0
"60_4C_11","60_4C","60",20,1.625,0,1,4.30334234237671,426.85,329.15,0.160312195418838,0
"60_4C_11","60_4C","60",21,1.75,0,1,4.30334234237671,426.85,329.15,0,0
"60_4C_11","60_4C","60",22,1.875,0,1,4.61067152023315,426.71,329.29,0.197989898732294,-0.0392000000000242
"60_4C_11","60_4C","60",23,2,0,1,4.30334234237671,426.85,329.15,0.197989898732294,-0.0210000000000113
"60_4C_11","60_4C","60",24,2.125,0,1,4.3159761428833,426.86,329.31,0.160312195418838,-0.0257000000000078
"60_4C_11","60_4C","60",25,2.25,0,1,4.30334234237671,426.85,329.15,0.160312195418838,0
"60_4C_11","60_4C","60",26,2.375,0,1,4.30334234237671,426.85,329.15,0,0
"60_4C_11","60_4C","60",27,2.5,0,1,4.57499694824219,427.09,329.4,0.346554469023236,-0.121599999999984
"60_4C_11","60_4C","60",28,2.625,0,1,4.4721360206604,427,329,0.409999999999972,-0.111399999999999
"60_4C_11","60_4C","60",29,2.75,0,1,4.3159761428833,426.86,329.31,0.340147027033895,-0.0482000000000095
"60_4C_11","60_4C","60",30,2.875,0,1,4.30334234237671,426.85,329.15,0.160312195418838,0
"60_4C_11","60_4C","60",31,3,0,1,4.30334234237671,426.85,329.15,0,0
"60_4C_11","60_4C","60",32,3.125,0,1,4.30334234237671,426.85,329.15,0,0
"60_4C_11","60_4C","60",33,3.25,0,1,4.33298635482788,424.26,332.9,4.55747737240682,0
"60_4C_11","60_4C","60",34,3.375,0,0,NA,424.26,332.9,0,0
"60_4C_11","60_4C","60",35,3.5,0,1,3.60555124282837,420,333.5,4.3020460248584,-2.13
"60_4C_11","60_4C","60",36,3.625,0,1,4.24264049530029,420.5,333.5,0.5,-0.25
"60_4C_11","60_4C","60",37,3.75,0,1,3.9712381362915,420,333.67,0.528109837060441,-0.130300000000016
"60_4C_11","60_4C","60",38,3.875,0,1,4.53098201751709,420.23,333.58,0.246981780704598,-0.0304000000000004
"60_4C_11","60_4C","60",39,4,0,1,3.9712381362915,420,333.33,0.339705755029273,-0.203800000000014
"60_4C_11","60_4C","60",40,4.125,0,1,4.3159761428833,420.31,333.86,0.614003257320377,-0.152400000000038
