"fname","cop_name","plate","frame","sec","drop","blobs","blob_size","x","y","distance","dot_product"
"62_4B_09","62_4B","62",0,-5.625,0,0,NA,475.5,244,NA,NA
"62_4B_09","62_4B","62",1,-5.5,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",2,-5.375,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",3,-5.25,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",4,-5.125,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",5,-5,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",6,-4.875,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",7,-4.75,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",8,-4.625,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",9,-4.5,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",10,-4.375,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",11,-4.25,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",12,-4.125,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",13,-4,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",14,-3.875,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",15,-3.75,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",16,-3.625,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",17,-3.5,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",18,-3.375,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",19,-3.25,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",20,-3.125,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",21,-3,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",22,-2.875,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",23,-2.75,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",24,-2.625,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",25,-2.5,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",26,-2.375,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",27,-2.25,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",28,-2.125,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",29,-2,0,0,NA,475.5,244,0,0
"62_4B_09","62_4B","62",30,-1.875,0,1,3.60555124282837,475.5,244,0,0
"62_4B_09","62_4B","62",31,-1.75,0,1,5.10765075683594,472.91,234.69,9.66355007230779,0
