cop_name,block,box,exposed,cop_fam,tank,parasite_fam,infected,trt,cerc_d9,cerc_multinom,failed_devo,dead,days_surv,cop_length,proc_size1,proc_size2,remarks
01_1A,1,1,1,I,1,Q,0,uninfected,,,,1,16,,,,
01_1B,1,1,1,I,1,Q,0,uninfected,,,,1,20,,,,
01_1C,1,1,1,I,1,Q,0,uninfected,,,,1,16,,,,
01_1D,1,1,0,I,1,Q,0,unexposed,,,,0,21,,,,
01_2A,1,1,1,I,1,Q,0,uninfected,,,,0,21,,,,
01_2B,1,1,1,I,1,Q,1,infected,0,0,0,1,14,,,,
01_2C,1,1,1,I,1,Q,0,uninfected,,,,0,21,,,,
01_2D,1,1,1,I,1,Q,0,uninfected,,,,1,21,,,,
01_3A,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_3B,1,1,1,I,2,Q,,,,,,1,6,,,,
01_3C,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_3D,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_4A,1,1,1,I,2,Q,1,infected,0,0,0,0,21,359.436,26806,26526,
01_4B,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_4C,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_4D,1,1,1,I,2,Q,1,infected,0,0,0,0,21,404.239,25081,28347,
01_5A,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_5B,1,1,1,I,2,Q,0,uninfected,,,,1,10,,,,
01_5C,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_5D,1,1,1,I,2,Q,0,uninfected,,,,1,8,,,,
01_6A,1,1,1,I,2,Q,0,uninfected,,,,1,21,,,,
01_6B,1,1,1,I,2,Q,0,uninfected,,,,0,21,,,,
01_6C,1,1,0,I,2,Q,0,unexposed,,,,0,21,,,,
01_6D,1,1,1,I,2,Q,1,infected,0,0,0,0,21,357.33,24326,24386,
02_1A,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_1B,1,1,1,I,2,U,0,uninfected,,,,0,21,,,,
02_1C,1,1,0,I,2,U,0,unexposed,,,,0,21,,,,
