,frame,x,y,blobs,blob_size,sec,distance,dot_product
0,0.0,654.43,483.77,1.0,4.545217514038086,-4.75,,
1,1.0,654.43,483.77,1.0,4.545217514038086,-4.625,0.0,
2,2.0,654.59,485.28,1.0,3.7962162494659424,-4.5,1.5184531602917486,-0.0
3,3.0,654.92,485.43,1.0,5.05560827255249,-4.375,0.36249137920778507,0.2793000000000655
4,4.0,654.81,487.0,1.0,4.820444583892822,-4.25,1.573848785620773,0.19920000000005603
5,5.0,654.81,487.0,0,,-4.125,0.0,0.0
6,6.0,654.81,487.0,0,,-4.0,0.0,0.0
7,7.0,654.81,487.0,0,,-3.875,0.0,0.0
8,8.0,654.81,487.0,0,,-3.75,0.0,0.0
9,9.0,654.81,487.0,0,,-3.625,0.0,0.0
10,10.0,654.81,487.0,0,,-3.5,0.0,0.0
11,11.0,654.81,487.0,0,,-3.375,0.0,0.0
12,12.0,654.81,487.0,0,,-3.25,0.0,0.0
13,13.0,654.81,487.0,0,,-3.125,0.0,0.0
14,14.0,654.81,487.0,0,,-3.0,0.0,0.0
15,15.0,654.81,487.0,0,,-2.875,0.0,0.0
16,16.0,654.81,487.0,0,,-2.75,0.0,0.0
17,17.0,654.81,487.0,0,,-2.625,0.0,0.0
18,18.0,654.81,487.0,0,,-2.5,0.0,0.0
19,19.0,654.81,487.0,0,,-2.375,0.0,0.0
20,20.0,654.81,487.0,0,,-2.25,0.0,0.0
21,21.0,654.81,487.0,0,,-2.125,0.0,0.0
22,22.0,654.81,487.0,0,,-2.0,0.0,0.0
23,23.0,654.81,487.0,0,,-1.875,0.0,0.0
24,24.0,654.81,487.0,0,,-1.75,0.0,0.0
25,25.0,654.81,487.0,0,,-1.625,0.0,0.0
26,26.0,654.81,487.0,0,,-1.5,0.0,0.0
27,27.0,654.81,487.0,0,,-1.375,0.0,0.0
28,28.0,654.81,487.0,0,,-1.25,0.0,0.0
29,29.0,654.81,487.0,0,,-1.125,0.0,0.0
30,30.0,654.81,487.0,0,,-1.0,0.0,0.0
31,31.0,657.78,498.7,1.0,4.6222052574157715,-0.875,12.071077002488217,-0.0
32,32.0,660.2,502.8,1.0,5.016746520996094,-0.75,4.760924280011239,55.1574000000005
33,33.0,660.2,502.8,0,,-0.625,0.0,-0.0
34,34.0,660.2,502.8,0,,-0.5,0.0,0.0
35,35.0,662.22,505.72,1.0,4.57938289642334,-0.375,3.550605582150743,-0.0
36,36.0,662.89,505.95,1.0,4.487804889678955,-0.25,0.7083784299369422,2.024999999999796
37,37.0,662.89,505.95,0,,-0.125,0.0,-0.0
38,38.0,662.89,505.95,0,,0.0,0.0,0.0
39,39.0,662.89,505.95,0,,0.125,0.0,0.0
40,40.0,662.89,505.95,0,,0.25,0.0,0.0
41,41.0,662.76,506.07,1.0,4.326507091522217,0.375,0.1769180601295411,0.0
42,42.0,662.62,506.0,1.0,4.802061080932617,0.5,0.15652475842497002,0.00979999999999809
43,43.0,662.62,506.0,0,,0.625,0.0,0.0
44,44.0,662.62,506.0,0,,0.75,0.0,0.0
45,45.0,663.09,506.4,1.0,4.5749969482421875,0.875,0.617170964968385,-0.0
46,46.0,663.0,506.67,1.0,3.971238136291504,1.0,0.2846049894152009,0.0656999999999919
47,47.0,662.86,506.55,1.0,3.836535930633545,1.125,0.18439088914585033,-0.019800000000002642
48,48.0,662.86,506.55,0,,1.25,0.0,0.0
49,49.0,663.27,506.33,1.0,4.186751365661621,1.375,0.4652956049652585,0.0
50,50.0,663.0,507.19,1.0,3.1094911098480225,1.5,0.9013878188660049,-0.2999000000000104
51,51.0,663.0,507.19,0,,1.625,0.0,0.0
52,52.0,663.0,507.19,0,,1.75,0.0,0.0
53,53.0,663.0,507.15,1.0,4.011234283447266,1.875,0.040000000000020464,0.0
54,54.0,663.16,507.29,1.0,3.945650577545166,2.0,0.2126029162546975,-0.005600000000004593
55,55.0,663.0,507.15,1.0,4.011234283447266,2.125,0.2126029162546975,-0.04520000000000191
56,56.0,663.0,507.15,0,,2.25,0.0,0.0
57,57.0,663.0,507.15,0,,2.375,0.0,0.0
58,58.0,663.0,507.15,0,,2.5,0.0,0.0
59,59.0,666.66,511.79,1.0,4.940642356872559,2.625,5.909754648037444,-0.0
60,60.0,666.66,511.79,0,,2.75,0.0,-0.0
61,61.0,676.22,517.5,1.0,3.7834935188293457,2.875,11.135425452132527,-0.0
62,62.0,676.22,517.5,0,,3.0,0.0,-0.0
63,63.0,676.22,517.5,0,,3.125,0.0,0.0
64,64.0,676.22,517.5,0,,3.25,0.0,0.0
65,65.0,676.22,517.5,0,,3.375,0.0,0.0
66,66.0,676.22,517.5,0,,3.5,0.0,0.0
67,67.0,676.22,517.5,0,,3.625,0.0,0.0
68,68.0,676.22,517.5,0,,3.75,0.0,0.0
69,69.0,676.22,517.5,0,,3.875,0.0,0.0
70,70.0,676.22,517.5,0,,4.0,0.0,0.0
