,day,drop,file_name,fps,frames,height,plate,tracked,width
0,11,,pl26_day11.mov,7.987,993,576,26,No,784
1,11,,pl27_day11.mov,7.987,1099,576,27,No,784
2,11,,pl28_day11.mov,7.987,979,576,28,No,784
3,11,,pl29_day11.mov,7.987,985,576,29,No,784
4,11,,pl30_day11.mov,7.987,983,576,30,No,784
5,11,,pl31_day11.mov,7.987,983,576,31,No,784
6,11,,pl32_day11.mov,7.987,1006,576,32,No,784
7,11,,pl33_day11.mov,7.987,986,576,33,No,784
8,11,,pl34_day11.mov,7.987,1009,576,34,No,784
9,11,,pl35_day11.mov,7.987,983,576,35,No,784
10,11,,pl36_day11.mov,7.987,994,576,36,No,784
11,11,,pl37_day11.mov,7.987,988,576,37,No,784
12,11,,pl38_day11.mov,7.987,986,576,38,No,784
13,11,,pl39_day11.mov,7.987,982,576,39,No,784
14,11,,pl40_day11.mov,7.987,987,576,40,No,784
15,11,,pl41_day11.mov,7.987,991,576,41,No,784
16,11,,pl42_day11.mov,7.987,990,576,42,No,784
17,11,,pl43_day11.mov,7.987,982,576,43,No,784
18,11,,pl44_day11.mov,7.987,1000,576,44,No,784
19,11,,pl45_day11.mov,7.987,1003,576,45,No,784
20,11,,pl46_day11.mov,7.987,982,576,46,No,784
21,11,,pl47_day11.mov,7.987,989,576,47,No,784
22,11,,pl48_day11.mov,7.987,988,576,48,No,784
23,11,,pl49_day11.mov,7.987,1624,576,49,No,784
24,11,,pl50_day11.mov,7.987,982,576,50,No,784
25,11,,pl51_day11.mov,7.987,973,576,51,No,784
26,11,,pl52_day11.mov,7.987,998,576,52,No,784
27,11,,pl53_day11.mov,7.987,1033,576,53,No,784
28,11,,pl54_day11.mov,7.987,1033,576,54,No,784
29,11,,pl55_day11.mov,7.987,1062,576,55,No,784
30,11,,pl56_day11.mov,7.987,982,576,56,No,784
31,11,,pl57_day11.mov,7.987,1043,576,57,No,784
32,11,,pl58_day11.mov,7.987,993,576,58,No,784
33,11,,pl59_day11.mov,7.987,1001,576,59,No,784
34,11,,pl60_day11.mov,7.987,985,576,60,No,784
35,11,,pl61_day11.mov,7.987,986,576,61,No,784
36,11,,pl62_day11.mov,7.987,986,576,62,No,784
37,11,,pl63_day11.mov,7.987,985,576,63,No,784
38,11,,pl64_day11.mov,7.987,986,576,64,No,784
39,11,,pl65_day11.mov,7.987,987,576,65,No,784
40,11,,pl66_day11.mov,7.987,994,576,66,No,784
41,11,,pl67_day11.mov,7.987,1130,576,67,No,784
42,11,,pl68_day11.mov,7.987,989,576,68,No,784
43,11,,pl69_day11.mov,7.987,986,576,69,No,784
44,11,,pl70_day11.mov,7.987,1041,576,70,No,784
45,11,,pl71_day11.mov,7.987,985,576,71,No,784
46,11,,pl72_day11.mov,7.987,983,576,72,No,784
47,11,,pl73_day11.mov,7.987,985,576,73,No,784
48,11,,pl74_day11.mov,7.987,987,576,74,No,784
49,11,,plt10_day11.mov,7.987,991,576,10,No,784
50,11,,plt11_day11.mov,7.987,999,576,11,No,784
51,11,,plt12_day11.mov,7.987,1004,576,12,No,784
52,11,,plt13_day11.mov,7.987,999,576,13,No,784
53,11,,plt14_day11.mov,7.987,985,576,14,No,784
54,11,,plt15_day11.mov,7.987,993,576,15,No,784
55,11,,plt16_day11.mov,7.987,984,576,16,No,784
56,11,,plt17_day11.mov,7.987,985,576,17,No,784
57,11,,plt18_day11.mov,7.987,991,576,18,No,784
