"cop_name","plate","well","day"
"01_1D","01","1D",5
"01_1D","01","1D",7
"01_1D","01","1D",9
"01_1D","01","1D",11
"01_1D","01","1D",13
"01_1D","01","1D",15
"01_1D","01","1D",17
"01_1D","01","1D",19
"01_1D","01","1D",21
"01_2A","01","2A",5
"01_2A","01","2A",7
"01_2A","01","2A",9
"01_2A","01","2A",11
"01_2A","01","2A",13
"01_2A","01","2A",15
"01_2A","01","2A",17
"01_2A","01","2A",19
"01_2A","01","2A",21
"01_2B","01","2B",5
"01_2B","01","2B",7
"01_2B","01","2B",9
"01_2B","01","2B",11
"01_2C","01","2C",5
"01_2C","01","2C",7
"01_2C","01","2C",9
"01_2C","01","2C",11
"01_2C","01","2C",13
"01_2C","01","2C",15
"01_2C","01","2C",17
"01_2C","01","2C",19
"01_2C","01","2C",21
"01_3D","01","3D",5
"01_3D","01","3D",7
"01_3D","01","3D",9
"01_3D","01","3D",11
"01_3D","01","3D",13
"01_3D","01","3D",15
"01_3D","01","3D",17
"01_3D","01","3D",19
"01_3D","01","3D",21
"01_4A","01","4A",5
"01_4A","01","4A",7
"01_4A","01","4A",9
"01_4A","01","4A",11
"01_4A","01","4A",13
"01_4A","01","4A",15
"01_4A","01","4A",17
"01_4A","01","4A",19
"01_4A","01","4A",21
"01_4C","01","4C",5
"01_4C","01","4C",7
"01_4C","01","4C",9
"01_4C","01","4C",11
"01_4C","01","4C",13
"01_4C","01","4C",15
"01_4C","01","4C",17
"01_4C","01","4C",19
"01_4C","01","4C",21
"01_4D","01","4D",5
"01_4D","01","4D",7
"01_4D","01","4D",9
"01_4D","01","4D",11
"01_4D","01","4D",13
"01_4D","01","4D",15
"01_4D","01","4D",17
"01_4D","01","4D",19
"01_4D","01","4D",21
"01_5B","01","5B",5
"01_5B","01","5B",7
"01_5C","01","5C",5
"01_5C","01","5C",7
"01_5C","01","5C",9
"01_5C","01","5C",11
"01_5C","01","5C",13
"01_5C","01","5C",15
"01_5C","01","5C",17
"01_5C","01","5C",19
"01_5C","01","5C",21
"01_6B","01","6B",5
"01_6B","01","6B",7
"01_6B","01","6B",9
"01_6B","01","6B",11
"01_6B","01","6B",13
"01_6B","01","6B",15
"01_6B","01","6B",17
"01_6B","01","6B",19
"01_6B","01","6B",21
"01_6C","01","6C",5
"01_6C","01","6C",7
"01_6C","01","6C",9
"01_6C","01","6C",11
"01_6C","01","6C",13
"01_6C","01","6C",15
"01_6C","01","6C",17
"01_6C","01","6C",19
"01_6C","01","6C",21
"01_6D","01","6D",5
"01_6D","01","6D",7
"01_6D","01","6D",9
"01_6D","01","6D",11
"01_6D","01","6D",13
